"","createdAt","sessionid","uid","pairid","lalco","ldep","llife","lcrim","ralco","rdep","rlife","rcrim","secElasped","chosen","order","attfailed"
"28",2022-02-18 01:18:17,"6cc44762-d3f6-46d1-b93f-2e8a952f810a",0,"random",0,1,3,2,2,2,3,0,17,0,21,FALSE
"29",2022-02-18 01:18:23,"cc7dcdf2-b534-416c-9a6e-f68d6e83bd74",1,"hard2",2,1,2,0,0,0,2,1,11,0,6,FALSE
"30",2022-02-18 01:18:26,"6cc44762-d3f6-46d1-b93f-2e8a952f810a",0,"random",2,0,2,1,4,1,1,0,9,0,22,FALSE
"31",2022-02-18 01:18:34,"6cc44762-d3f6-46d1-b93f-2e8a952f810a",0,"random",4,2,3,2,2,1,2,1,7,1,23,FALSE
"32",2022-02-18 01:18:35,"cc7dcdf2-b534-416c-9a6e-f68d6e83bd74",1,"random",0,1,3,1,2,0,3,0,12,0,7,FALSE
"33",2022-02-18 01:18:40,"6cc44762-d3f6-46d1-b93f-2e8a952f810a",0,"random",0,0,2,1,0,2,3,2,6,1,24,FALSE
"34",2022-02-18 01:18:55,"cc7dcdf2-b534-416c-9a6e-f68d6e83bd74",1,"random",0,1,2,1,2,0,2,1,20,0,8,FALSE
"35",2022-02-18 01:19:09,"cc7dcdf2-b534-416c-9a6e-f68d6e83bd74",1,"random",2,2,3,1,2,1,3,0,14,0,9,FALSE
"36",2022-02-18 01:19:21,"cc7dcdf2-b534-416c-9a6e-f68d6e83bd74",1,"random",4,2,3,2,4,2,3,1,12,1,10,FALSE
"37",2022-02-18 01:19:23,"6cc44762-d3f6-46d1-b93f-2e8a952f810a",0,"random",0,1,1,2,4,1,1,2,43,0,25,FALSE
"38",2022-02-18 01:19:31,"cc7dcdf2-b534-416c-9a6e-f68d6e83bd74",1,"random",4,1,3,0,4,2,3,0,10,1,11,FALSE
"39",2022-02-18 01:19:32,"6cc44762-d3f6-46d1-b93f-2e8a952f810a",0,"attcheck",0,2,3,0,4,0,-1,2,10,0,26,FALSE
"40",2022-02-18 01:19:38,"6cc44762-d3f6-46d1-b93f-2e8a952f810a",0,"random",4,1,1,0,2,1,2,0,6,1,27,FALSE
"41",2022-02-18 01:19:47,"6cc44762-d3f6-46d1-b93f-2e8a952f810a",0,"random",2,0,3,2,4,2,1,2,9,0,28,FALSE
"42",2022-02-18 01:19:53,"6cc44762-d3f6-46d1-b93f-2e8a952f810a",0,"random",0,2,2,1,2,0,2,2,6,0,29,FALSE
"43",2022-02-18 01:19:56,"cc7dcdf2-b534-416c-9a6e-f68d6e83bd74",1,"easy1",4,0,1,2,0,0,3,0,25,1,12,FALSE
"44",2022-02-18 01:20:10,"6cc44762-d3f6-46d1-b93f-2e8a952f810a",0,"random",0,2,1,1,0,1,2,2,17,0,30,FALSE
"45",2022-02-18 01:20:10,"cc7dcdf2-b534-416c-9a6e-f68d6e83bd74",1,"random",2,1,2,2,2,1,3,1,14,1,13,FALSE
"46",2022-02-18 01:20:20,"6cc44762-d3f6-46d1-b93f-2e8a952f810a",0,"random",2,1,3,1,2,2,3,2,10,1,31,FALSE
"47",2022-02-18 01:20:27,"6cc44762-d3f6-46d1-b93f-2e8a952f810a",0,"random",4,1,3,0,2,2,1,0,8,1,32,FALSE
"48",2022-02-18 01:20:30,"cc7dcdf2-b534-416c-9a6e-f68d6e83bd74",1,"random",0,0,1,1,0,0,3,2,20,1,14,FALSE
"49",2022-02-18 01:20:34,"6cc44762-d3f6-46d1-b93f-2e8a952f810a",0,"easy2",0,2,3,0,4,0,1,2,7,0,33,FALSE
"50",2022-02-18 01:20:42,"6cc44762-d3f6-46d1-b93f-2e8a952f810a",0,"random",2,0,3,2,0,0,3,0,8,1,34,FALSE
"51",2022-02-18 01:20:43,"cc7dcdf2-b534-416c-9a6e-f68d6e83bd74",1,"random",2,1,2,1,2,2,2,0,13,1,15,FALSE
"52",2022-02-18 01:20:52,"6cc44762-d3f6-46d1-b93f-2e8a952f810a",0,"random",4,1,1,2,0,1,3,0,9,1,35,FALSE
"53",2022-02-18 01:20:54,"cc7dcdf2-b534-416c-9a6e-f68d6e83bd74",1,"random",4,1,1,0,2,0,1,0,12,0,16,FALSE
"54",2022-02-18 01:20:59,"6cc44762-d3f6-46d1-b93f-2e8a952f810a",0,"random",0,0,2,0,0,1,2,1,7,1,36,FALSE
"55",2022-02-18 01:21:07,"cc7dcdf2-b534-416c-9a6e-f68d6e83bd74",1,"random",2,1,2,2,2,2,2,0,12,1,17,FALSE
"56",2022-02-18 01:21:10,"6cc44762-d3f6-46d1-b93f-2e8a952f810a",0,"random",2,0,1,1,2,1,3,0,11,1,37,FALSE
"57",2022-02-18 01:21:18,"6cc44762-d3f6-46d1-b93f-2e8a952f810a",0,"random",4,1,1,0,0,0,2,2,8,1,38,FALSE
"58",2022-02-18 01:21:26,"cc7dcdf2-b534-416c-9a6e-f68d6e83bd74",1,"random",2,2,3,1,4,2,3,2,20,0,18,FALSE
"59",2022-02-18 01:21:31,"6cc44762-d3f6-46d1-b93f-2e8a952f810a",0,"random",4,2,2,2,2,1,1,0,14,1,39,FALSE
"60",2022-02-18 01:21:42,"6cc44762-d3f6-46d1-b93f-2e8a952f810a",0,"random",2,1,3,0,0,0,1,1,11,1,40,FALSE
"61",2022-02-18 01:21:51,"6cc44762-d3f6-46d1-b93f-2e8a952f810a",0,"random",4,0,2,0,2,2,1,2,9,1,41,FALSE
"62",2022-02-18 01:22:09,"6cc44762-d3f6-46d1-b93f-2e8a952f810a",0,"random",4,2,1,2,0,0,1,1,18,1,42,FALSE
"63",2022-02-18 01:22:17,"6cc44762-d3f6-46d1-b93f-2e8a952f810a",0,"random",0,0,2,1,4,2,1,2,8,0,43,FALSE
"64",2022-02-18 01:22:25,"6cc44762-d3f6-46d1-b93f-2e8a952f810a",0,"hard2",0,0,2,1,2,1,2,0,8,0,44,FALSE
"65",2022-02-18 01:22:36,"6cc44762-d3f6-46d1-b93f-2e8a952f810a",0,"random",0,1,3,0,4,0,3,1,11,0,45,FALSE
"66",2022-02-18 01:22:42,"6cc44762-d3f6-46d1-b93f-2e8a952f810a",0,"random",2,0,3,0,4,0,1,2,6,0,46,FALSE
"67",2022-02-18 01:22:50,"6cc44762-d3f6-46d1-b93f-2e8a952f810a",0,"random",2,2,3,2,2,2,2,2,8,0,47,FALSE
"68",2022-02-18 01:22:58,"6cc44762-d3f6-46d1-b93f-2e8a952f810a",0,"random",0,1,2,2,0,2,2,0,8,1,48,FALSE
"69",2022-02-18 01:23:01,"cc7dcdf2-b534-416c-9a6e-f68d6e83bd74",1,"random",4,2,1,2,0,0,2,1,95,1,19,FALSE
"70",2022-02-18 01:23:04,"6cc44762-d3f6-46d1-b93f-2e8a952f810a",0,"random",0,2,1,2,4,2,1,1,6,0,49,FALSE
"71",2022-02-18 01:23:20,"cc7dcdf2-b534-416c-9a6e-f68d6e83bd74",1,"random",0,0,1,2,0,0,3,2,19,1,20,FALSE
"72",2022-02-18 01:23:32,"cc7dcdf2-b534-416c-9a6e-f68d6e83bd74",1,"random",0,2,3,2,2,1,3,2,12,0,21,FALSE
"73",2022-02-18 01:23:50,"cc7dcdf2-b534-416c-9a6e-f68d6e83bd74",1,"random",0,2,3,2,0,1,1,0,19,0,22,FALSE
"74",2022-02-18 01:24:05,"cc7dcdf2-b534-416c-9a6e-f68d6e83bd74",1,"random",4,0,2,0,4,0,3,2,14,0,23,FALSE
"75",2022-02-18 01:24:20,"cc7dcdf2-b534-416c-9a6e-f68d6e83bd74",1,"random",4,0,3,0,2,2,3,2,15,1,24,FALSE
"76",2022-02-18 01:25:12,"cc7dcdf2-b534-416c-9a6e-f68d6e83bd74",1,"attcheck",4,0,-1,2,0,2,3,0,52,1,25,FALSE
"77",2022-02-18 01:25:23,"cc7dcdf2-b534-416c-9a6e-f68d6e83bd74",1,"hard1",2,2,2,0,0,0,2,2,12,0,26,FALSE
"78",2022-02-18 01:25:34,"cc7dcdf2-b534-416c-9a6e-f68d6e83bd74",1,"random",4,0,2,0,4,2,2,0,10,1,27,FALSE
"79",2022-02-18 01:25:51,"cc7dcdf2-b534-416c-9a6e-f68d6e83bd74",1,"random",2,0,2,2,4,1,1,2,18,1,28,FALSE
"80",2022-02-18 01:26:09,"cc7dcdf2-b534-416c-9a6e-f68d6e83bd74",1,"random",4,0,2,2,2,1,1,0,17,1,29,FALSE
"81",2022-02-18 01:26:21,"cc7dcdf2-b534-416c-9a6e-f68d6e83bd74",1,"random",2,2,2,0,0,0,2,0,12,0,30,FALSE
"82",2022-02-18 01:26:33,"cc7dcdf2-b534-416c-9a6e-f68d6e83bd74",1,"random",0,2,3,1,0,0,2,1,12,0,31,FALSE
"83",2022-02-18 01:26:44,"cc7dcdf2-b534-416c-9a6e-f68d6e83bd74",1,"random",2,1,2,1,0,2,1,0,11,1,32,FALSE
"84",2022-02-18 01:26:55,"cc7dcdf2-b534-416c-9a6e-f68d6e83bd74",1,"random",2,1,3,1,2,2,3,2,11,1,33,FALSE
"85",2022-02-18 01:27:13,"cc7dcdf2-b534-416c-9a6e-f68d6e83bd74",1,"random",4,0,2,1,4,0,1,0,18,0,34,FALSE
"86",2022-02-18 01:27:28,"cc7dcdf2-b534-416c-9a6e-f68d6e83bd74",1,"random",4,0,3,2,2,2,1,1,14,1,35,FALSE
"87",2022-02-18 01:27:40,"cc7dcdf2-b534-416c-9a6e-f68d6e83bd74",1,"easy3",0,1,3,0,4,0,1,2,12,0,36,FALSE
"88",2022-02-18 01:27:52,"cc7dcdf2-b534-416c-9a6e-f68d6e83bd74",1,"random",2,1,2,1,0,1,3,0,12,1,37,FALSE
"89",2022-02-18 01:28:40,"cc7dcdf2-b534-416c-9a6e-f68d6e83bd74",1,"attcheck",4,0,-1,2,0,2,3,0,48,1,38,FALSE
"90",2022-02-18 01:29:57,"cc7dcdf2-b534-416c-9a6e-f68d6e83bd74",1,"random",2,1,3,2,4,1,3,0,77,1,39,FALSE
"91",2022-02-18 01:31:52,"cc7dcdf2-b534-416c-9a6e-f68d6e83bd74",1,"random",0,1,2,2,0,1,1,2,115,0,40,FALSE
"92",2022-02-18 01:34:54,"cc7dcdf2-b534-416c-9a6e-f68d6e83bd74",1,"random",0,1,1,0,4,2,2,1,182,0,41,FALSE
"93",2022-02-18 01:35:09,"cc7dcdf2-b534-416c-9a6e-f68d6e83bd74",1,"random",4,1,1,1,4,2,2,0,16,1,42,FALSE
"94",2022-02-18 01:35:53,"cc7dcdf2-b534-416c-9a6e-f68d6e83bd74",1,"random",0,0,1,1,2,0,1,2,43,0,43,FALSE
"95",2022-02-18 01:38:18,"cc7dcdf2-b534-416c-9a6e-f68d6e83bd74",1,"random",0,0,2,2,4,0,3,2,145,0,44,FALSE
"96",2022-02-18 01:38:29,"cc7dcdf2-b534-416c-9a6e-f68d6e83bd74",1,"easy2",0,2,3,0,4,0,1,2,12,0,45,FALSE
"97",2022-02-18 01:38:37,"cc7dcdf2-b534-416c-9a6e-f68d6e83bd74",1,"random",2,1,2,1,4,0,3,0,8,0,46,FALSE
"98",2022-02-18 01:38:53,"cc7dcdf2-b534-416c-9a6e-f68d6e83bd74",1,"random",4,1,1,2,0,2,3,0,16,1,47,FALSE
"99",2022-02-18 01:39:08,"cc7dcdf2-b534-416c-9a6e-f68d6e83bd74",1,"random",4,0,1,1,2,0,2,0,15,1,48,FALSE
"100",2022-02-18 01:39:19,"cc7dcdf2-b534-416c-9a6e-f68d6e83bd74",1,"random",0,1,3,0,0,0,1,0,10,0,49,FALSE
"101",2022-02-18 02:14:18,"a203e391-39e3-4f3a-9185-4fee6b4b472e",2,"random",0,1,3,1,2,0,2,0,49,0,0,FALSE
"102",2022-02-18 02:14:26,"a203e391-39e3-4f3a-9185-4fee6b4b472e",2,"random",4,2,2,2,0,2,2,2,9,1,1,FALSE
"103",2022-02-18 02:14:39,"a203e391-39e3-4f3a-9185-4fee6b4b472e",2,"random",2,0,1,0,2,1,3,1,13,1,2,FALSE
"104",2022-02-18 02:14:44,"a203e391-39e3-4f3a-9185-4fee6b4b472e",2,"random",0,0,3,1,4,1,3,1,6,0,3,FALSE
"105",2022-02-18 02:14:57,"a203e391-39e3-4f3a-9185-4fee6b4b472e",2,"random",2,1,1,2,4,0,1,1,13,0,4,FALSE
"106",2022-02-18 02:15:11,"a203e391-39e3-4f3a-9185-4fee6b4b472e",2,"random",4,1,2,1,0,0,3,0,13,1,5,FALSE
"107",2022-02-18 02:15:19,"a203e391-39e3-4f3a-9185-4fee6b4b472e",2,"hard2",2,1,2,0,0,0,2,1,8,0,6,FALSE
"108",2022-02-18 02:15:25,"a203e391-39e3-4f3a-9185-4fee6b4b472e",2,"random",4,2,2,1,4,0,2,1,7,0,7,FALSE
"109",2022-02-18 02:15:30,"a203e391-39e3-4f3a-9185-4fee6b4b472e",2,"random",2,0,3,2,2,0,1,2,5,0,8,FALSE
"110",2022-02-18 02:15:35,"a203e391-39e3-4f3a-9185-4fee6b4b472e",2,"random",4,2,3,0,2,1,2,2,4,0,9,FALSE
"111",2022-02-18 02:15:40,"a203e391-39e3-4f3a-9185-4fee6b4b472e",2,"random",2,1,1,1,0,0,1,1,5,0,10,FALSE
"112",2022-02-18 02:15:45,"a203e391-39e3-4f3a-9185-4fee6b4b472e",2,"random",0,2,3,2,0,1,1,1,5,0,11,FALSE
"113",2022-02-18 02:15:48,"a203e391-39e3-4f3a-9185-4fee6b4b472e",2,"easy2",4,0,1,2,0,2,3,0,3,1,12,FALSE
"114",2022-02-18 02:15:52,"a203e391-39e3-4f3a-9185-4fee6b4b472e",2,"random",0,0,3,2,4,0,2,2,4,0,13,FALSE
"115",2022-02-18 02:15:56,"a203e391-39e3-4f3a-9185-4fee6b4b472e",2,"random",2,0,2,1,4,2,3,2,4,1,14,FALSE
"116",2022-02-18 02:16:01,"a203e391-39e3-4f3a-9185-4fee6b4b472e",2,"attcheck",0,2,3,0,4,0,-1,2,5,0,15,FALSE
"117",2022-02-18 02:16:04,"a203e391-39e3-4f3a-9185-4fee6b4b472e",2,"random",4,0,2,0,4,0,1,2,3,0,16,FALSE
"118",2022-02-18 02:16:14,"a203e391-39e3-4f3a-9185-4fee6b4b472e",2,"random",0,1,1,0,4,2,1,0,10,0,17,FALSE
"119",2022-02-18 02:16:20,"a203e391-39e3-4f3a-9185-4fee6b4b472e",2,"random",4,0,2,0,4,2,2,0,5,1,18,FALSE
"120",2022-02-18 02:16:24,"a203e391-39e3-4f3a-9185-4fee6b4b472e",2,"random",2,1,1,1,0,1,2,1,4,1,19,FALSE
"121",2022-02-18 02:16:28,"a203e391-39e3-4f3a-9185-4fee6b4b472e",2,"random",2,2,3,0,2,1,1,1,4,0,20,FALSE
"122",2022-02-18 02:16:32,"a203e391-39e3-4f3a-9185-4fee6b4b472e",2,"easy3",0,1,3,0,4,0,1,2,4,0,21,FALSE
"123",2022-02-18 02:16:34,"a203e391-39e3-4f3a-9185-4fee6b4b472e",2,"random",4,1,2,2,2,1,3,0,2,1,22,FALSE
"124",2022-02-18 02:16:37,"a203e391-39e3-4f3a-9185-4fee6b4b472e",2,"random",4,2,3,1,2,1,1,0,3,0,23,FALSE
"125",2022-02-18 02:16:40,"a203e391-39e3-4f3a-9185-4fee6b4b472e",2,"random",2,1,2,2,4,0,1,2,3,0,24,FALSE
"126",2022-02-18 02:17:27,"a203e391-39e3-4f3a-9185-4fee6b4b472e",2,"random",2,0,1,0,0,1,1,1,47,1,25,FALSE
"127",2022-02-18 02:17:30,"a203e391-39e3-4f3a-9185-4fee6b4b472e",2,"random",0,2,1,0,4,1,3,2,2,1,26,FALSE
"128",2022-02-18 02:17:35,"a203e391-39e3-4f3a-9185-4fee6b4b472e",2,"random",2,2,2,0,2,2,2,2,5,0,27,FALSE
"129",2022-02-18 02:17:40,"a203e391-39e3-4f3a-9185-4fee6b4b472e",2,"random",0,1,2,0,4,1,2,1,5,0,28,FALSE
"130",2022-02-18 02:17:43,"a203e391-39e3-4f3a-9185-4fee6b4b472e",2,"random",4,2,1,2,2,1,3,0,3,1,29,FALSE
"131",2022-02-18 02:17:47,"a203e391-39e3-4f3a-9185-4fee6b4b472e",2,"random",2,2,3,2,0,2,3,1,4,1,30,FALSE
"132",2022-02-18 02:17:50,"a203e391-39e3-4f3a-9185-4fee6b4b472e",2,"random",0,1,1,2,0,2,2,2,3,1,31,FALSE
"133",2022-02-18 02:17:53,"a203e391-39e3-4f3a-9185-4fee6b4b472e",2,"attcheck",0,2,3,0,4,0,-1,2,3,0,32,FALSE
"134",2022-02-18 02:17:56,"a203e391-39e3-4f3a-9185-4fee6b4b472e",2,"random",0,2,1,2,2,2,3,1,3,1,33,FALSE
"135",2022-02-18 02:18:03,"a203e391-39e3-4f3a-9185-4fee6b4b472e",2,"random",0,1,1,2,2,2,1,1,7,1,34,FALSE
"136",2022-02-18 02:18:06,"a203e391-39e3-4f3a-9185-4fee6b4b472e",2,"random",4,1,2,0,2,2,3,1,3,1,35,FALSE
"137",2022-02-18 02:18:09,"a203e391-39e3-4f3a-9185-4fee6b4b472e",2,"random",2,0,2,0,2,2,1,0,3,0,36,FALSE
"138",2022-02-18 02:18:13,"a203e391-39e3-4f3a-9185-4fee6b4b472e",2,"hard3",0,1,2,2,2,0,2,0,4,0,37,FALSE
"139",2022-02-18 02:18:17,"a203e391-39e3-4f3a-9185-4fee6b4b472e",2,"random",4,1,2,0,2,0,1,1,3,0,38,FALSE
"140",2022-02-18 02:18:26,"a203e391-39e3-4f3a-9185-4fee6b4b472e",2,"random",2,0,3,0,4,1,3,0,10,1,39,FALSE
"141",2022-02-18 02:18:29,"a203e391-39e3-4f3a-9185-4fee6b4b472e",2,"random",0,2,2,0,0,1,1,1,3,0,40,FALSE
"142",2022-02-18 02:18:31,"a203e391-39e3-4f3a-9185-4fee6b4b472e",2,"random",4,0,3,0,2,1,1,1,2,0,41,FALSE
"143",2022-02-18 02:18:33,"a203e391-39e3-4f3a-9185-4fee6b4b472e",2,"random",2,0,3,0,4,0,1,0,2,0,42,FALSE
"144",2022-02-18 02:18:35,"a203e391-39e3-4f3a-9185-4fee6b4b472e",2,"easy1",0,0,3,0,4,0,1,2,2,0,43,FALSE
"145",2022-02-18 02:18:37,"a203e391-39e3-4f3a-9185-4fee6b4b472e",2,"random",0,0,2,1,0,2,3,2,2,1,44,FALSE
"146",2022-02-18 02:18:40,"a203e391-39e3-4f3a-9185-4fee6b4b472e",2,"random",2,1,2,0,2,2,1,0,3,0,45,FALSE
"147",2022-02-18 02:18:41,"a203e391-39e3-4f3a-9185-4fee6b4b472e",2,"random",0,0,1,0,4,0,3,2,2,1,46,FALSE
"148",2022-02-18 02:18:43,"a203e391-39e3-4f3a-9185-4fee6b4b472e",2,"random",2,0,1,2,2,1,3,0,2,1,47,FALSE
"149",2022-02-18 02:18:45,"a203e391-39e3-4f3a-9185-4fee6b4b472e",2,"random",4,0,1,2,0,1,2,0,2,1,48,FALSE
"150",2022-02-18 02:18:48,"a203e391-39e3-4f3a-9185-4fee6b4b472e",2,"hard1",0,0,2,2,2,2,2,0,3,1,49,FALSE
"151",2022-02-18 02:21:56,"07c294a4-355f-4b30-ad0c-e32178d8ac77",3,"random",4,2,3,2,4,2,1,0,37,0,0,FALSE
"152",2022-02-18 02:22:05,"07c294a4-355f-4b30-ad0c-e32178d8ac77",3,"attcheck",0,2,3,0,4,0,-1,2,12,0,1,FALSE
"153",2022-02-18 02:22:12,"07c294a4-355f-4b30-ad0c-e32178d8ac77",3,"random",4,0,1,1,0,1,3,2,7,1,2,FALSE
"154",2022-02-18 02:22:22,"07c294a4-355f-4b30-ad0c-e32178d8ac77",3,"easy3",4,0,1,2,0,1,3,0,10,1,3,FALSE
"155",2022-02-18 02:22:32,"07c294a4-355f-4b30-ad0c-e32178d8ac77",3,"random",4,2,1,2,2,2,2,2,10,1,4,FALSE
"156",2022-02-18 02:22:52,"07c294a4-355f-4b30-ad0c-e32178d8ac77",3,"hard1",0,0,2,2,2,2,2,0,20,1,5,FALSE
"157",2022-02-18 02:22:58,"07c294a4-355f-4b30-ad0c-e32178d8ac77",3,"easy1",0,0,3,0,4,0,1,2,6,0,6,FALSE
"158",2022-02-18 02:23:09,"07c294a4-355f-4b30-ad0c-e32178d8ac77",3,"random",0,1,1,2,4,0,3,1,12,0,7,FALSE
"159",2022-02-18 02:23:15,"07c294a4-355f-4b30-ad0c-e32178d8ac77",3,"random",2,0,1,0,0,1,1,2,6,1,8,FALSE
"160",2022-02-18 02:23:26,"07c294a4-355f-4b30-ad0c-e32178d8ac77",3,"random",2,0,3,1,2,2,2,1,10,1,9,FALSE
"161",2022-02-18 02:23:34,"07c294a4-355f-4b30-ad0c-e32178d8ac77",3,"random",0,2,1,0,4,1,2,1,9,1,10,FALSE
"162",2022-02-18 02:23:43,"07c294a4-355f-4b30-ad0c-e32178d8ac77",3,"random",4,2,1,0,2,0,2,0,9,1,11,FALSE
"163",2022-02-18 02:24:11,"07c294a4-355f-4b30-ad0c-e32178d8ac77",3,"random",2,2,3,1,2,2,3,0,28,1,12,FALSE
"164",2022-02-18 02:24:19,"07c294a4-355f-4b30-ad0c-e32178d8ac77",3,"random",0,0,2,2,0,0,1,1,8,0,13,FALSE
"165",2022-02-18 02:24:25,"07c294a4-355f-4b30-ad0c-e32178d8ac77",3,"random",4,2,3,0,0,0,3,0,6,0,14,FALSE
"166",2022-02-18 02:24:29,"07c294a4-355f-4b30-ad0c-e32178d8ac77",3,"random",4,0,1,2,0,2,1,1,4,1,15,FALSE
"167",2022-02-18 02:24:34,"07c294a4-355f-4b30-ad0c-e32178d8ac77",3,"random",0,2,3,1,0,2,2,1,5,0,16,FALSE
"168",2022-02-18 02:24:43,"07c294a4-355f-4b30-ad0c-e32178d8ac77",3,"random",2,2,2,2,4,2,2,1,9,0,17,FALSE
"169",2022-02-18 02:24:51,"07c294a4-355f-4b30-ad0c-e32178d8ac77",3,"random",2,0,1,1,2,2,3,1,8,1,18,FALSE
"170",2022-02-18 02:25:03,"07c294a4-355f-4b30-ad0c-e32178d8ac77",3,"random",2,1,1,0,0,0,2,0,10,0,19,FALSE
"171",2022-02-18 02:29:39,"07c294a4-355f-4b30-ad0c-e32178d8ac77",3,"random",4,0,1,1,2,2,1,1,277,1,20,FALSE
"172",2022-02-18 02:41:44,"07c294a4-355f-4b30-ad0c-e32178d8ac77",3,"easy2",0,2,3,0,4,0,1,2,724,0,21,FALSE
"173",2022-02-18 02:42:05,"07c294a4-355f-4b30-ad0c-e32178d8ac77",3,"random",2,2,2,1,4,2,3,0,21,1,22,FALSE
"174",2022-02-18 02:42:35,"07c294a4-355f-4b30-ad0c-e32178d8ac77",3,"random",0,2,1,0,0,0,2,1,29,0,23,FALSE
"175",2022-02-18 02:42:49,"07c294a4-355f-4b30-ad0c-e32178d8ac77",3,"random",2,1,2,2,4,1,2,1,15,0,24,FALSE
"176",2022-02-18 02:43:37,"07c294a4-355f-4b30-ad0c-e32178d8ac77",3,"hard3",0,1,2,2,2,0,2,0,47,0,25,FALSE
"177",2022-02-18 02:43:46,"07c294a4-355f-4b30-ad0c-e32178d8ac77",3,"random",2,1,3,1,0,1,1,0,7,0,26,FALSE
"178",2022-02-18 02:43:47,"07c294a4-355f-4b30-ad0c-e32178d8ac77",3,"random",0,2,3,1,2,0,2,1,4,0,27,FALSE
