id,createdAt,sessionid,pairid,secElasped,chosen,order,mindChanged,l_elderlyDep,l_lifeYearsGained,l_obesity,l_weeklyWorkhours,l_yearsWaiting,r_elderlyDep,r_lifeYearsGained,r_obesity,r_weeklyWorkhours,r_yearsWaiting
39,2022-07-28 20:16:37.890000,71bc09f7-b8da-4513-a63a-c7c8d214b365,0-10-7-1-20_2-10-1-1-30,1,1,15,0,0,10,1,20,7,2,10,1,30,1
39,2022-07-28 20:16:40.343000,71bc09f7-b8da-4513-a63a-c7c8d214b365,3-5-5-3-10_3-25-5-0-40,2,0,16,0,3,5,3,10,5,3,25,0,40,5
39,2022-07-28 20:16:41.494000,71bc09f7-b8da-4513-a63a-c7c8d214b365,2-25-3-4-0_0-20-7-2-10,1,1,17,0,2,25,4,0,3,0,20,2,10,7
39,2022-07-28 20:16:42.702000,71bc09f7-b8da-4513-a63a-c7c8d214b365,0-10-1-0-10_0-10-5-3-30,1,0,18,0,0,10,0,10,1,0,10,3,30,5
39,2022-07-28 20:16:43.858000,71bc09f7-b8da-4513-a63a-c7c8d214b365,2-5-1-4-20_0-5-1-1-10,1,1,19,0,2,5,4,20,1,0,5,1,10,1
39,2022-07-28 20:16:45.309000,71bc09f7-b8da-4513-a63a-c7c8d214b365,1-10-7-3-0_2-5-7-3-0,1,0,20,0,1,10,3,0,7,2,5,3,0,7
39,2022-07-28 20:16:46.651000,71bc09f7-b8da-4513-a63a-c7c8d214b365,1-25-3-3-50_3-10-5-3-40,1,1,21,0,1,25,3,50,3,3,10,3,40,5
39,2022-07-28 20:16:48.309000,71bc09f7-b8da-4513-a63a-c7c8d214b365,hard_1,2,0,22,0,2,25,1,10,5,1,20,2,30,7
39,2022-07-28 20:16:49.277000,71bc09f7-b8da-4513-a63a-c7c8d214b365,1-25-5-2-30_1-5-7-4-0,1,1,23,0,1,25,2,30,5,1,5,4,0,7
39,2022-07-28 20:16:50.511000,71bc09f7-b8da-4513-a63a-c7c8d214b365,easy_3,1,0,24,0,0,10,4,20,1,0,10,1,30,7
39,2022-07-28 20:16:51.906000,71bc09f7-b8da-4513-a63a-c7c8d214b365,1-20-3-1-30_0-20-3-0-0,1,1,25,0,1,20,1,30,3,0,20,0,0,3
39,2022-07-28 20:16:52.946000,71bc09f7-b8da-4513-a63a-c7c8d214b365,3-5-3-0-20_2-10-7-2-10,1,0,26,0,3,5,0,20,3,2,10,2,10,7
39,2022-07-28 20:16:54.123000,71bc09f7-b8da-4513-a63a-c7c8d214b365,2-5-3-1-20_0-25-5-2-40,1,1,27,0,2,5,1,20,3,0,25,2,40,5
39,2022-07-28 20:16:55.613000,71bc09f7-b8da-4513-a63a-c7c8d214b365,hard_3,1,0,28,0,0,5,1,20,7,2,10,3,30,3
39,2022-07-28 20:16:57.353000,71bc09f7-b8da-4513-a63a-c7c8d214b365,1-10-1-3-30_2-20-7-1-40,2,1,29,0,1,10,3,30,1,2,20,1,40,7
39,2022-07-28 20:18:05.613000,71bc09f7-b8da-4513-a63a-c7c8d214b365,2-25-5-3-30_0-25-3-0-40,68,0,30,0,2,25,3,30,5,0,25,0,40,3
39,2022-07-28 20:18:06.858000,71bc09f7-b8da-4513-a63a-c7c8d214b365,3-10-1-4-30_0-20-3-3-10,1,1,31,0,3,10,4,30,1,0,20,3,10,3
39,2022-07-28 20:18:07.936000,71bc09f7-b8da-4513-a63a-c7c8d214b365,1-5-1-2-30_1-20-5-2-0,1,0,32,0,1,5,2,30,1,1,20,2,0,5
39,2022-07-28 20:18:08.967000,71bc09f7-b8da-4513-a63a-c7c8d214b365,att_1,1,1,33,0,0,20,1,30,3,2,-1,0,40,5
39,2022-07-28 20:18:09.986000,71bc09f7-b8da-4513-a63a-c7c8d214b365,2-25-3-3-30_0-25-5-1-40,1,0,34,0,2,25,3,30,3,0,25,1,40,5
39,2022-07-28 20:18:10.990000,71bc09f7-b8da-4513-a63a-c7c8d214b365,3-25-7-2-30_1-10-1-3-30,1,1,35,0,3,25,2,30,7,1,10,3,30,1
39,2022-07-28 20:18:12.029000,71bc09f7-b8da-4513-a63a-c7c8d214b365,easy_2,1,0,36,0,1,20,2,30,5,0,10,4,0,5
39,2022-07-28 20:18:13.340000,71bc09f7-b8da-4513-a63a-c7c8d214b365,0-10-7-0-40_3-25-7-1-0,1,1,37,0,0,10,0,40,7,3,25,1,0,7
39,2022-07-28 20:18:14.552000,71bc09f7-b8da-4513-a63a-c7c8d214b365,hard_1,1,0,38,0,2,25,1,10,5,1,20,2,30,7
39,2022-07-28 20:18:15.747000,71bc09f7-b8da-4513-a63a-c7c8d214b365,hard_2,1,1,39,0,1,10,0,20,5,0,20,3,40,3
39,2022-07-28 20:18:16.792000,71bc09f7-b8da-4513-a63a-c7c8d214b365,easy_1,1,0,40,0,2,20,1,30,5,0,5,2,40,3
39,2022-07-28 20:18:17.713000,71bc09f7-b8da-4513-a63a-c7c8d214b365,1-20-1-4-20_3-10-3-3-20,1,1,41,0,1,20,4,20,1,3,10,3,20,3
39,2022-07-28 20:18:18.665000,71bc09f7-b8da-4513-a63a-c7c8d214b365,easy_3,1,0,42,0,0,10,4,20,1,0,10,1,30,7
39,2022-07-28 20:18:19.647000,71bc09f7-b8da-4513-a63a-c7c8d214b365,1-25-5-4-40_1-25-1-0-20,1,1,43,0,1,25,4,40,5,1,25,0,20,1
39,2022-07-28 20:18:20.709000,71bc09f7-b8da-4513-a63a-c7c8d214b365,easy_1,1,0,44,0,2,20,1,30,5,0,5,2,40,3
39,2022-07-28 20:18:21.878000,71bc09f7-b8da-4513-a63a-c7c8d214b365,1-5-1-3-20_0-10-7-1-30,1,1,45,0,1,5,3,20,1,0,10,1,30,7
39,2022-07-28 20:18:23.411000,71bc09f7-b8da-4513-a63a-c7c8d214b365,easy_2,2,0,46,0,1,20,2,30,5,0,10,4,0,5
39,2022-07-28 20:18:24.930000,71bc09f7-b8da-4513-a63a-c7c8d214b365,2-5-3-2-0_2-10-7-0-20,2,1,47,0,2,5,2,0,3,2,10,0,20,7
39,2022-07-28 20:18:25.971000,71bc09f7-b8da-4513-a63a-c7c8d214b365,3-5-7-0-20_1-20-1-4-40,1,0,48,0,3,5,0,20,7,1,20,4,40,1
39,2022-07-28 20:18:27.060000,71bc09f7-b8da-4513-a63a-c7c8d214b365,0-5-1-0-40_0-25-5-3-0,1,1,49,0,0,5,0,40,1,0,25,3,0,5
39,2022-07-28 20:18:28.146000,71bc09f7-b8da-4513-a63a-c7c8d214b365,0-10-3-2-30_0-20-5-1-40,1,0,50,0,0,10,2,30,3,0,20,1,40,5
39,2022-07-28 20:18:29.100000,71bc09f7-b8da-4513-a63a-c7c8d214b365,hard_3,1,1,51,0,0,5,1,20,7,2,10,3,30,3
39,2022-07-28 20:18:30.273000,71bc09f7-b8da-4513-a63a-c7c8d214b365,3-25-1-4-10_1-5-7-3-50,1,0,52,0,3,25,4,10,1,1,5,3,50,7
39,2022-07-28 20:18:31.492000,71bc09f7-b8da-4513-a63a-c7c8d214b365,0-5-5-0-50_2-5-3-4-40,1,1,53,0,0,5,0,50,5,2,5,4,40,3
39,2022-07-28 20:18:32.544000,71bc09f7-b8da-4513-a63a-c7c8d214b365,hard_2,1,0,54,0,1,10,0,20,5,0,20,3,40,3
39,2022-07-28 20:18:33.679000,71bc09f7-b8da-4513-a63a-c7c8d214b365,2-10-5-1-50_2-10-7-4-30,1,1,55,0,2,10,1,50,5,2,10,4,30,7
39,2022-07-28 20:18:35.890000,71bc09f7-b8da-4513-a63a-c7c8d214b365,0-25-1-4-0_1-25-5-4-20,2,0,56,0,0,25,4,0,1,1,25,4,20,5
39,2022-07-28 20:18:37.049000,71bc09f7-b8da-4513-a63a-c7c8d214b365,0-10-7-4-30_0-10-5-3-20,1,1,57,0,0,10,4,30,7,0,10,3,20,5
39,2022-07-28 20:18:38.497000,71bc09f7-b8da-4513-a63a-c7c8d214b365,3-25-3-4-30_2-10-1-0-10,1,0,58,0,3,25,4,30,3,2,10,0,10,1
39,2022-07-28 20:18:39.630000,71bc09f7-b8da-4513-a63a-c7c8d214b365,2-10-3-2-30_2-10-7-0-0,1,1,59,0,2,10,2,30,3,2,10,0,0,7
39,2022-07-28 20:23:08.621000,212ea638-293c-4e86-94a7-212765a8aca0,att_2,49,1,0,0,0,15,2,30,7,1,-1,1,40,7
38,2022-07-28 20:48:41.810000,b92ee26b-1eae-4115-bdfd-942c1878f037,1-5-7-4-20_1-20-5-3-30,313,1,0,0,1,5,4,20,7,1,20,3,30,5
38,2022-07-28 20:49:24.381000,b92ee26b-1eae-4115-bdfd-942c1878f037,3-20-5-4-0_2-10-3-3-50,43,0,1,0,3,20,4,0,5,2,10,3,50,3
38,2022-07-28 20:49:55.915000,b92ee26b-1eae-4115-bdfd-942c1878f037,easy_1,32,0,2,0,2,20,1,30,5,0,5,2,40,3
38,2022-07-28 20:50:33.573000,b92ee26b-1eae-4115-bdfd-942c1878f037,2-10-1-2-30_3-20-1-2-10,38,1,3,0,2,10,2,30,1,3,20,2,10,1
38,2022-07-28 20:50:57.322000,b92ee26b-1eae-4115-bdfd-942c1878f037,1-10-7-3-50_0-5-3-1-0,24,0,4,0,1,10,3,50,7,0,5,1,0,3
38,2022-07-28 20:51:31.711000,b92ee26b-1eae-4115-bdfd-942c1878f037,0-20-3-1-30_3-5-1-1-40,34,0,5,0,0,20,1,30,3,3,5,1,40,1
38,2022-07-28 20:51:50.397000,b92ee26b-1eae-4115-bdfd-942c1878f037,0-20-1-3-0_2-10-3-3-0,19,1,6,0,0,20,3,0,1,2,10,3,0,3
38,2022-07-28 20:52:04.174000,b92ee26b-1eae-4115-bdfd-942c1878f037,0-20-3-2-50_3-20-5-1-40,14,1,7,0,0,20,2,50,3,3,20,1,40,5
38,2022-07-28 20:52:20.161000,b92ee26b-1eae-4115-bdfd-942c1878f037,0-10-1-1-20_3-10-3-3-30,16,1,8,0,0,10,1,20,1,3,10,3,30,3
38,2022-07-28 20:52:38.120000,b92ee26b-1eae-4115-bdfd-942c1878f037,2-20-1-1-0_1-10-1-0-20,18,0,9,0,2,20,1,0,1,1,10,0,20,1
38,2022-07-28 20:53:20.626000,b92ee26b-1eae-4115-bdfd-942c1878f037,2-20-1-0-50_2-20-1-2-40,43,1,10,0,2,20,0,50,1,2,20,2,40,1
38,2022-07-28 20:53:59.126000,b92ee26b-1eae-4115-bdfd-942c1878f037,0-20-1-4-50_3-5-7-2-10,38,0,11,0,0,20,4,50,1,3,5,2,10,7
38,2022-07-28 20:54:21.718000,b92ee26b-1eae-4115-bdfd-942c1878f037,2-5-3-1-10_1-5-5-0-30,23,1,12,0,2,5,1,10,3,1,5,0,30,5
38,2022-07-28 20:54:44.619000,b92ee26b-1eae-4115-bdfd-942c1878f037,1-5-5-4-30_0-10-5-4-10,23,0,13,0,1,5,4,30,5,0,10,4,10,5
38,2022-07-28 20:54:56.378000,b92ee26b-1eae-4115-bdfd-942c1878f037,3-10-5-3-20_0-5-5-3-20,12,0,14,0,3,10,3,20,5,0,5,3,20,5
38,2022-07-28 20:55:10.933000,b92ee26b-1eae-4115-bdfd-942c1878f037,0-10-1-2-20_2-25-7-0-20,15,1,15,0,0,10,2,20,1,2,25,0,20,7
38,2022-07-28 20:55:42.221000,b92ee26b-1eae-4115-bdfd-942c1878f037,1-10-7-4-30_2-25-5-1-40,31,0,16,0,1,10,4,30,7,2,25,1,40,5
38,2022-07-28 20:56:00.483000,b92ee26b-1eae-4115-bdfd-942c1878f037,1-5-1-1-50_0-10-7-0-20,18,1,17,0,1,5,1,50,1,0,10,0,20,7
38,2022-07-28 20:56:12.020000,b92ee26b-1eae-4115-bdfd-942c1878f037,2-25-3-3-0_3-20-3-2-40,12,1,18,0,2,25,3,0,3,3,20,2,40,3
38,2022-07-28 20:56:24.085000,b92ee26b-1eae-4115-bdfd-942c1878f037,0-5-1-3-20_2-20-5-1-40,12,1,19,0,0,5,3,20,1,2,20,1,40,5
38,2022-07-28 20:56:35.291000,b92ee26b-1eae-4115-bdfd-942c1878f037,easy_1,11,0,20,0,2,20,1,30,5,0,5,2,40,3
38,2022-07-28 20:56:50.123000,b92ee26b-1eae-4115-bdfd-942c1878f037,hard_3,15,1,21,0,0,5,1,20,7,2,10,3,30,3
38,2022-07-28 20:57:05.140000,b92ee26b-1eae-4115-bdfd-942c1878f037,hard_3,15,1,22,0,0,5,1,20,7,2,10,3,30,3
38,2022-07-28 20:57:18.972000,b92ee26b-1eae-4115-bdfd-942c1878f037,hard_1,14,0,23,0,1,20,2,30,7,2,25,1,10,5
38,2022-07-28 20:57:35.785000,b92ee26b-1eae-4115-bdfd-942c1878f037,2-10-3-2-0_1-20-5-4-10,17,1,24,0,2,10,2,0,3,1,20,4,10,5
38,2022-07-28 20:57:54.068000,b92ee26b-1eae-4115-bdfd-942c1878f037,2-25-5-2-40_2-20-7-1-30,18,1,25,0,2,25,2,40,5,2,20,1,30,7
38,2022-07-28 20:58:20.960000,b92ee26b-1eae-4115-bdfd-942c1878f037,0-5-7-1-20_2-20-3-0-10,27,1,26,0,0,5,1,20,7,2,20,0,10,3
38,2022-07-28 20:58:34.056000,b92ee26b-1eae-4115-bdfd-942c1878f037,0-10-5-1-0_1-25-5-1-10,13,1,27,0,0,10,1,0,5,1,25,1,10,5
38,2022-07-28 20:58:46.216000,b92ee26b-1eae-4115-bdfd-942c1878f037,1-20-3-1-0_1-25-3-0-10,12,1,28,0,1,20,1,0,3,1,25,0,10,3
38,2022-07-28 20:58:58.655000,b92ee26b-1eae-4115-bdfd-942c1878f037,2-25-3-4-40_0-5-7-3-10,12,0,29,0,2,25,4,40,3,0,5,3,10,7
38,2022-07-28 21:00:01.256000,b92ee26b-1eae-4115-bdfd-942c1878f037,hard_2,63,1,30,0,1,10,0,20,5,0,20,3,40,3
38,2022-07-28 21:00:13.962000,b92ee26b-1eae-4115-bdfd-942c1878f037,0-10-1-4-30_1-20-7-4-10,13,1,31,0,0,10,4,30,1,1,20,4,10,7
38,2022-07-28 21:00:24.660000,b92ee26b-1eae-4115-bdfd-942c1878f037,0-25-7-0-10_2-20-7-2-10,11,1,32,0,0,25,0,10,7,2,20,2,10,7
38,2022-07-28 21:00:39.730000,b92ee26b-1eae-4115-bdfd-942c1878f037,easy_3,15,0,33,0,0,10,1,30,7,0,10,4,20,1
38,2022-07-28 21:00:57.134000,b92ee26b-1eae-4115-bdfd-942c1878f037,2-20-3-1-30_1-5-5-0-10,17,0,34,0,2,20,1,30,3,1,5,0,10,5
38,2022-07-28 21:01:07.469000,b92ee26b-1eae-4115-bdfd-942c1878f037,1-5-7-1-30_3-25-5-4-50,10,1,35,0,1,5,1,30,7,3,25,4,50,5
38,2022-07-28 21:01:20.324000,b92ee26b-1eae-4115-bdfd-942c1878f037,1-20-5-3-50_0-25-1-4-0,13,0,36,0,1,20,3,50,5,0,25,4,0,1
38,2022-07-28 21:01:32.517000,b92ee26b-1eae-4115-bdfd-942c1878f037,2-25-5-1-50_1-10-5-2-0,12,0,37,0,2,25,1,50,5,1,10,2,0,5
38,2022-07-28 21:01:43.717000,b92ee26b-1eae-4115-bdfd-942c1878f037,easy_3,11,0,38,0,0,10,1,30,7,0,10,4,20,1
38,2022-07-28 21:01:53.153000,b92ee26b-1eae-4115-bdfd-942c1878f037,3-20-7-1-30_2-5-7-2-30,9,0,39,0,3,20,1,30,7,2,5,2,30,7
38,2022-07-28 21:02:05.112000,b92ee26b-1eae-4115-bdfd-942c1878f037,3-5-5-3-30_2-5-5-3-10,12,0,40,0,3,5,3,30,5,2,5,3,10,5
38,2022-07-28 21:02:13.660000,b92ee26b-1eae-4115-bdfd-942c1878f037,easy_2,9,1,41,0,0,10,4,0,5,1,20,2,30,5
38,2022-07-28 21:02:29.835000,b92ee26b-1eae-4115-bdfd-942c1878f037,att_1,16,0,42,0,0,20,1,30,3,2,-1,0,40,5
32,2022-07-28 21:02:31.459000,54598387-2704-41f2-905c-b1e16117050b,hard_2,180,0,0,0,1,10,0,20,5,0,20,3,40,3
32,2022-07-28 21:02:43.826000,54598387-2704-41f2-905c-b1e16117050b,1-25-5-3-0_1-5-7-4-50,13,0,1,0,1,25,3,0,5,1,5,4,50,7
32,2022-07-28 21:02:51.051000,54598387-2704-41f2-905c-b1e16117050b,2-20-7-1-0_3-5-5-0-0,7,0,2,0,2,20,1,0,7,3,5,0,0,5
38,2022-07-28 21:02:52.974000,b92ee26b-1eae-4115-bdfd-942c1878f037,0-10-7-1-0_3-20-3-4-10,23,1,43,0,0,10,1,0,7,3,20,4,10,3
32,2022-07-28 21:03:00.933000,54598387-2704-41f2-905c-b1e16117050b,0-5-1-0-20_2-10-3-3-20,10,1,3,0,0,5,0,20,1,2,10,3,20,3
38,2022-07-28 21:03:05.007000,b92ee26b-1eae-4115-bdfd-942c1878f037,3-20-7-2-40_2-25-5-2-30,12,0,44,0,3,20,2,40,7,2,25,2,30,5
32,2022-07-28 21:03:12.090000,54598387-2704-41f2-905c-b1e16117050b,2-5-3-2-10_0-10-1-4-0,11,0,4,0,2,5,2,10,3,0,10,4,0,1
38,2022-07-28 21:03:18.409000,b92ee26b-1eae-4115-bdfd-942c1878f037,2-10-3-4-10_1-25-7-2-0,13,1,45,0,2,10,4,10,3,1,25,2,0,7
32,2022-07-28 21:03:20.159000,54598387-2704-41f2-905c-b1e16117050b,3-20-5-4-20_3-25-7-2-40,8,1,5,0,3,20,4,20,5,3,25,2,40,7
32,2022-07-28 21:03:30.790000,54598387-2704-41f2-905c-b1e16117050b,0-5-1-2-50_0-20-5-3-30,11,1,6,0,0,5,2,50,1,0,20,3,30,5
38,2022-07-28 21:03:32.166000,b92ee26b-1eae-4115-bdfd-942c1878f037,1-25-3-2-20_0-20-3-2-20,14,0,46,0,1,25,2,20,3,0,20,2,20,3
38,2022-07-28 21:03:41.299000,b92ee26b-1eae-4115-bdfd-942c1878f037,easy_2,9,1,47,0,0,10,4,0,5,1,20,2,30,5
32,2022-07-28 21:03:43.515000,54598387-2704-41f2-905c-b1e16117050b,3-10-3-3-30_0-20-7-0-10,13,1,7,0,3,10,3,30,3,0,20,0,10,7
38,2022-07-28 21:03:49.888000,b92ee26b-1eae-4115-bdfd-942c1878f037,3-10-5-4-10_2-10-5-1-10,9,0,48,0,3,10,4,10,5,2,10,1,10,5
38,2022-07-28 21:04:01.220000,b92ee26b-1eae-4115-bdfd-942c1878f037,hard_1,11,0,49,0,1,20,2,30,7,2,25,1,10,5
32,2022-07-28 21:04:04.643000,54598387-2704-41f2-905c-b1e16117050b,2-10-1-1-10_3-10-1-3-0,21,0,8,0,2,10,1,10,1,3,10,3,0,1
32,2022-07-28 21:04:12.710000,54598387-2704-41f2-905c-b1e16117050b,easy_3,8,0,9,0,0,10,1,30,7,0,10,4,20,1
38,2022-07-28 21:04:15.812000,b92ee26b-1eae-4115-bdfd-942c1878f037,2-5-5-1-50_2-10-7-0-40,14,1,50,0,2,5,1,50,5,2,10,0,40,7
32,2022-07-28 21:04:19.832000,54598387-2704-41f2-905c-b1e16117050b,0-20-5-1-40_0-5-7-4-10,7,0,10,0,0,20,1,40,5,0,5,4,10,7
38,2022-07-28 21:04:29.236000,b92ee26b-1eae-4115-bdfd-942c1878f037,3-25-3-0-40_0-10-7-0-50,14,0,51,0,3,25,0,40,3,0,10,0,50,7
38,2022-07-28 21:04:43.541000,b92ee26b-1eae-4115-bdfd-942c1878f037,att_2,14,1,52,0,1,-1,1,40,7,0,15,2,30,7
32,2022-07-28 21:04:47.076000,54598387-2704-41f2-905c-b1e16117050b,0-10-3-3-0_2-10-1-2-10,27,1,11,0,0,10,3,0,3,2,10,2,10,1
32,2022-07-28 21:04:54.222000,54598387-2704-41f2-905c-b1e16117050b,2-10-1-1-40_0-20-1-1-50,7,0,12,0,2,10,1,40,1,0,20,1,50,1
38,2022-07-28 21:04:55.521000,b92ee26b-1eae-4115-bdfd-942c1878f037,1-5-7-3-50_1-5-1-1-40,12,0,53,0,1,5,3,50,7,1,5,1,40,1
32,2022-07-28 21:04:59.064000,54598387-2704-41f2-905c-b1e16117050b,easy_1,5,1,13,0,0,5,2,40,3,2,20,1,30,5
32,2022-07-28 21:05:05.648000,54598387-2704-41f2-905c-b1e16117050b,1-25-7-0-50_0-10-7-0-30,7,0,14,0,1,25,0,50,7,0,10,0,30,7
38,2022-07-28 21:05:14.220000,b92ee26b-1eae-4115-bdfd-942c1878f037,0-25-5-3-20_3-10-3-2-30,19,0,54,0,0,25,3,20,5,3,10,2,30,3
32,2022-07-28 21:05:14.394000,54598387-2704-41f2-905c-b1e16117050b,easy_2,9,0,15,0,1,20,2,30,5,0,10,4,0,5
38,2022-07-28 21:05:24.513000,b92ee26b-1eae-4115-bdfd-942c1878f037,0-25-7-2-40_2-10-1-2-50,10,0,55,0,0,25,2,40,7,2,10,2,50,1
32,2022-07-28 21:05:24.583000,54598387-2704-41f2-905c-b1e16117050b,2-25-3-4-10_2-10-1-0-30,10,0,16,0,2,25,4,10,3,2,10,0,30,1
32,2022-07-28 21:05:35.279000,54598387-2704-41f2-905c-b1e16117050b,3-10-5-3-30_1-25-1-4-40,11,0,17,0,3,10,3,30,5,1,25,4,40,1
38,2022-07-28 21:05:39.526000,b92ee26b-1eae-4115-bdfd-942c1878f037,3-5-3-2-50_2-10-3-3-0,15,0,56,0,3,5,2,50,3,2,10,3,0,3
32,2022-07-28 21:05:44.050000,54598387-2704-41f2-905c-b1e16117050b,hard_2,9,0,18,0,1,10,0,20,5,0,20,3,40,3
32,2022-07-28 21:05:49.384000,54598387-2704-41f2-905c-b1e16117050b,0-5-5-2-0_3-5-1-4-30,5,1,19,0,0,5,2,0,5,3,5,4,30,1
38,2022-07-28 21:05:54.348000,b92ee26b-1eae-4115-bdfd-942c1878f037,hard_2,15,1,57,0,1,10,0,20,5,0,20,3,40,3
32,2022-07-28 21:05:56.980000,54598387-2704-41f2-905c-b1e16117050b,1-20-1-3-30_0-5-5-3-20,8,0,20,0,1,20,3,30,1,0,5,3,20,5
38,2022-07-28 21:06:07.544000,b92ee26b-1eae-4115-bdfd-942c1878f037,1-20-1-1-20_2-25-5-2-50,13,1,58,0,1,20,1,20,1,2,25,2,50,5
32,2022-07-28 21:06:11.580000,54598387-2704-41f2-905c-b1e16117050b,0-10-5-2-20_0-20-3-2-0,15,0,21,0,0,10,2,20,5,0,20,2,0,3
32,2022-07-28 21:06:17.365000,54598387-2704-41f2-905c-b1e16117050b,2-5-7-1-0_2-20-7-3-30,6,1,22,0,2,5,1,0,7,2,20,3,30,7
38,2022-07-28 21:06:23.733000,b92ee26b-1eae-4115-bdfd-942c1878f037,1-20-3-4-30_0-10-7-2-10,16,0,59,0,1,20,4,30,3,0,10,2,10,7
32,2022-07-28 21:06:29.127000,54598387-2704-41f2-905c-b1e16117050b,0-20-7-4-50_2-5-7-4-30,12,1,23,0,0,20,4,50,7,2,5,4,30,7
32,2022-07-28 21:06:38.683000,54598387-2704-41f2-905c-b1e16117050b,1-10-5-2-40_1-20-1-1-0,10,0,24,0,1,10,2,40,5,1,20,1,0,1
32,2022-07-28 21:06:45.744000,54598387-2704-41f2-905c-b1e16117050b,2-25-3-4-40_0-20-3-2-20,7,0,25,0,2,25,4,40,3,0,20,2,20,3
32,2022-07-28 21:06:58.726000,54598387-2704-41f2-905c-b1e16117050b,hard_1,13,1,26,0,1,20,2,30,7,2,25,1,10,5
32,2022-07-28 21:07:03.306000,54598387-2704-41f2-905c-b1e16117050b,hard_3,5,0,27,0,2,10,3,30,3,0,5,1,20,7
32,2022-07-28 21:07:10.251000,54598387-2704-41f2-905c-b1e16117050b,3-25-3-4-10_0-10-1-3-50,7,0,28,0,3,25,4,10,3,0,10,3,50,1
32,2022-07-28 21:07:23.967000,54598387-2704-41f2-905c-b1e16117050b,att_2,14,1,29,0,1,-1,1,40,7,0,15,2,30,7
32,2022-07-28 21:08:05.224000,54598387-2704-41f2-905c-b1e16117050b,0-5-3-1-30_2-5-1-3-10,41,1,30,0,0,5,1,30,3,2,5,3,10,1
