,lalco,ldep,llife,lcrim,ralco,rdep,rlife,rcrim,secElasped,chosen,order,alcodiff,depdiff,lifediff,crimdiff,LocationLatitude,LocationLongitude,econStatus,hour_of_day,age_18-24 years old,age_25-34 years old,age_35-44 years old,age_45-54 years old,age_55-64 years old,age_65+ years old,gender_Female,gender_Male,gender_Non-binary / third gender,employment_Retired,employment_Student,employment_Unemployed and looking for work,employment_Working full-time,employment_Working part-time,maritalStatus_Living with a partner,maritalStatus_Married,maritalStatus_Never been married,maritalStatus_Widowed,ethnicity_Black/African American,ethnicity_Hispanic/Latino,ethnicity_White/Caucasian,"ethnicity_White/Caucasian,Black/African American",timezone_America/Chicago,timezone_America/Detroit,timezone_America/Los_Angeles,timezone_America/New_York,timezone_Europe/London
3139,0,2,3,0,4,0,-1,2,2,0,37,-4,2,4,-2,31.99330139160156,-96.4197998046875,30,12,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0
10304,4,0,-1,2,0,2,3,0,9,1,20,4,-2,-4,2,53.75,-1.675506591796875,40,15,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
8936,0,2,3,0,4,0,-1,2,1,0,32,-4,2,4,-2,25.658905029296875,-80.3553009033203,61,23,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
2530,0,2,3,0,4,0,-1,2,15,0,28,-4,2,4,-2,53.42359924316406,-2.3112945556640625,15,3,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1
5211,0,2,3,0,4,0,-1,2,4,0,10,-4,2,4,-2,42.11140441894531,-77.94219970703125,35,11,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0
2536,0,2,3,0,4,0,-1,2,14,0,34,-4,2,4,-2,53.42359924316406,-2.3112945556640625,15,3,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1
6270,4,0,-1,2,0,2,3,0,7,1,48,4,-2,-4,2,54.77409362792969,-3.439193725585937,60,23,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
5207,4,0,-1,2,0,2,3,0,4,1,8,4,-2,-4,2,42.11140441894531,-77.94219970703125,35,11,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0
2025,4,0,-1,2,0,2,3,0,4,1,31,4,-2,-4,2,42.965606689453125,-85.65000152587889,8,17,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0
2548,0,2,3,0,4,0,-1,2,7,0,46,-4,2,4,-2,53.42359924316406,-2.3112945556640625,15,3,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1
12098,4,0,-1,2,0,2,3,0,3,1,14,4,-2,-4,2,54.77409362792969,-3.439193725585937,60,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
10334,4,0,-1,2,0,2,3,0,10,1,50,4,-2,-4,2,53.75,-1.675506591796875,40,15,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
1064,4,0,-1,2,0,2,3,0,13,1,2,4,-2,-4,2,53.42359924316406,-2.3112945556640625,15,4,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1
4651,4,0,-1,2,0,2,3,0,8,1,44,4,-2,-4,2,52.61810302734375,-1.1804046630859375,25,2,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
11706,4,0,-1,2,0,2,3,0,3,1,42,4,-2,-4,2,40.23890686035156,-77.19349670410156,44,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0
10858,4,0,-1,2,0,2,3,0,6,1,34,4,-2,-4,2,54.32470703125,-2.744293212890625,30,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
10265,4,0,-1,2,0,2,3,0,7,1,41,4,-2,-4,2,47.663101196289055,-122.30290222167967,15,17,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0
8263,0,2,3,0,4,0,-1,2,6,0,19,-4,2,4,-2,54.32470703125,-2.744293212890625,30,15,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
10874,0,2,3,0,4,0,-1,2,2,0,6,-4,2,4,-2,50.7333984375,-1.9246063232421875,38,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
7687,0,2,3,0,4,0,-1,2,4,0,26,-4,2,4,-2,54.77409362792969,-3.439193725585937,60,19,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
6601,4,0,-1,2,0,2,3,0,4,1,19,4,-2,-4,2,42.11140441894531,-77.94219970703125,35,21,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0
12070,0,2,3,0,4,0,-1,2,4,0,46,-4,2,4,-2,40.23890686035156,-77.19349670410156,44,19,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0
10267,0,2,3,0,4,0,-1,2,6,0,43,-4,2,4,-2,47.663101196289055,-122.30290222167967,15,17,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0
4728,0,2,3,0,4,0,-1,2,18,0,26,-4,2,4,-2,53.75,-1.675506591796875,40,2,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
8974,0,2,3,0,4,0,-1,2,3,0,10,-4,2,4,-2,52.61810302734375,-1.1804046630859375,25,6,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
12462,4,0,-1,2,0,2,3,0,4,1,18,4,-2,-4,2,25.658905029296875,-80.3553009033203,61,6,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
8971,0,2,3,0,4,0,-1,2,3,0,7,-4,2,4,-2,52.61810302734375,-1.1804046630859375,25,6,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
3190,0,2,3,0,4,0,-1,2,14,0,28,-4,2,4,-2,53.42359924316406,-2.3112945556640625,15,21,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1
11270,4,0,-1,2,0,2,3,0,2,1,26,4,-2,-4,2,50.7333984375,-1.9246063232421875,38,18,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
1078,4,0,-1,2,0,2,3,0,24,1,16,4,-2,-4,2,53.42359924316406,-2.3112945556640625,15,4,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1
10284,0,2,3,0,4,0,-1,2,49,0,0,-4,2,4,-2,53.75,-1.675506591796875,40,15,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
609,0,2,3,0,4,0,-1,2,4,0,9,-4,2,4,-2,31.99330139160156,-96.4197998046875,30,16,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0
1860,4,0,-1,2,0,2,3,0,4,1,18,4,-2,-4,2,42.11140441894531,-77.94219970703125,35,15,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0
10864,0,2,3,0,4,0,-1,2,5,0,40,-4,2,4,-2,54.32470703125,-2.744293212890625,30,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
7950,0,2,3,0,4,0,-1,2,4,0,6,-4,2,4,-2,33.34489440917969,-82.08290100097656,30,17,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
7400,4,0,-1,2,0,2,3,0,12,1,56,4,-2,-4,2,52.43910217285156,-1.50390625,60,5,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1
2028,4,0,-1,2,0,2,3,0,4,1,34,4,-2,-4,2,40.23890686035156,-77.19349670410156,44,17,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0
7347,0,2,3,0,4,0,-1,2,5,0,3,-4,2,4,-2,52.43910217285156,-1.50390625,60,5,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1
3317,4,0,-1,2,0,2,3,0,12,1,35,4,-2,-4,2,33.34489440917969,-82.08290100097656,30,17,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
7345,4,0,-1,2,0,2,3,0,6,1,1,4,-2,-4,2,52.43910217285156,-1.50390625,60,5,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1
9136,0,2,3,0,4,0,-1,2,2,0,52,-4,2,4,-2,42.95849609375,-85.47830200195312,50,3,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0
4543,4,0,-1,2,0,2,3,0,5,1,41,4,-2,-4,2,54.77409362792969,-3.439193725585937,60,2,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
8123,4,0,-1,2,0,2,3,0,8,1,59,4,-2,-4,2,52.43910217285156,-1.50390625,60,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1
11463,0,2,3,0,4,0,-1,2,10,0,39,-4,2,4,-2,53.75,-1.675506591796875,40,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
2378,4,0,-1,2,0,2,3,0,8,1,56,4,-2,-4,2,38.25770568847656,-85.70980072021484,65,18,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
2383,4,0,-1,2,0,2,3,0,3,1,1,4,-2,-4,2,32.86869812011719,-96.86260223388672,37,18,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0
9122,0,2,3,0,4,0,-1,2,2,0,38,-4,2,4,-2,42.95849609375,-85.47830200195312,50,3,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0
11459,4,0,-1,2,0,2,3,0,9,1,35,4,-2,-4,2,53.75,-1.675506591796875,40,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
425,4,0,-1,2,0,2,3,0,42,1,25,4,-2,-4,2,31.99330139160156,-96.4197998046875,30,12,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0
8284,0,2,3,0,4,0,-1,2,7,0,40,-4,2,4,-2,54.32470703125,-2.744293212890625,30,15,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
12622,4,0,-1,2,0,2,3,0,3,1,58,4,-2,-4,2,25.658905029296875,-80.3553009033203,61,4,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
428,0,2,3,0,4,0,-1,2,2,0,28,-4,2,4,-2,31.99330139160156,-96.4197998046875,30,12,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0
11675,4,0,-1,2,0,2,3,0,3,1,11,4,-2,-4,2,40.23890686035156,-77.19349670410156,44,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0
8485,0,2,3,0,4,0,-1,2,4,0,13,-4,2,4,-2,44.760299682617195,-85.6179962158203,34,14,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
10080,4,0,-1,2,0,2,3,0,3,1,36,4,-2,-4,2,52.61810302734375,-1.1804046630859375,25,20,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
10087,4,0,-1,2,0,2,3,0,8,1,43,4,-2,-4,2,52.61810302734375,-1.1804046630859375,25,21,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
7295,0,2,3,0,4,0,-1,2,5,0,11,-4,2,4,-2,50.80070495605469,-1.080596923828125,14,4,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1
3423,0,2,3,0,4,0,-1,2,4,0,21,-4,2,4,-2,38.25770568847656,-85.70980072021484,65,19,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
1157,0,2,3,0,4,0,-1,2,7,0,35,-4,2,4,-2,42.95849609375,-85.47830200195312,50,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0
10089,4,0,-1,2,0,2,3,0,3,1,45,4,-2,-4,2,52.61810302734375,-1.1804046630859375,25,21,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
5545,4,0,-1,2,0,2,3,0,5,1,43,4,-2,-4,2,52.43910217285156,-1.50390625,60,20,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1
8486,0,2,3,0,4,0,-1,2,8,0,48,-4,2,4,-2,53.42359924316406,-2.3112945556640625,15,20,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1
12632,0,2,3,0,4,0,-1,2,5,0,8,-4,2,4,-2,52.43910217285156,-1.50390625,60,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1
